episode,x,y,z,reward
1,28.5,87.0,329.5,-1.0
1,29.5,87.0,329.5,-1.0
1,29.5,86.0,330.5,1.0
1,29.5,86.0,331.5,-1.0
1,29.5,86.0,330.5,-1.0
1,30.5,86.0,330.5,-1.0
1,30.5,86.0,329.5,-1.0
1,30.5,86.0,328.5,-1.0
1,31.5,86.0,328.5,-1.0
1,31.5,85.0,329.5,1.0
1,31.5,85.0,329.5,-1000
1,32.5,84.0,330.5,1.0
1,32.5,85.0,329.5,-3.0
1,33.5,83.0,329.5,3.0
1,33.5,83.0,329.5,-1000
1,34.5,82.0,329.5,1.0
1,35.5,80.0,329.5,3.0
1,35.5,80.0,329.5,-1000
1,35.5,79.0,330.5,1.0
1,35.5,79.0,330.5,-1000
1,36.5,78.0,330.5,1.0
1,35.5,79.0,330.5,-3.0
1,35.5,79.0,331.5,-1.0
1,35.5,78.0,332.5,1.0
1,35.5,77.0,333.5,1.0
1,36.5,75.0,333.5,3.0
1,36.5,75.0,333.5,-1000
1,36.5,75.0,333.5,-1000
1,36.5,75.0,333.5,-1000
1,36.5,75.0,333.5,-1000
1,37.5,74.0,333.5,1.0
1,37.5,74.0,333.5,-1000
1,36.5,75.0,333.5,-3.0
1,36.5,75.0,333.5,-1000
1,36.5,75.0,333.5,-1000
1,37.5,74.0,333.5,1.0
1,37.5,72.0,334.5,3.0
1,38.5,71.0,334.5,1.0
1,39.5,70.0,334.5,1.0
1,40.5,68.0,334.5,3.0
1,40.5,68.0,334.5,-1000
2,27.5,87.0,330.5,-1.0
2,26.5,87.0,330.5,-1.0
2,25.5,87.0,330.5,-1.0
2,25.5,88.0,329.5,-3.0
2,25.5,87.0,330.5,1.0
2,25.5,87.0,331.5,-1.0
2,24.5,87.0,331.5,-1.0
2,25.5,87.0,331.5,-1.0
2,25.5,87.0,332.5,-1.0
2,26.5,86.0,332.5,1.0
2,25.5,87.0,332.5,-3.0
2,25.5,87.0,333.5,-1.0
2,26.5,86.0,333.5,1.0
2,27.5,86.0,333.5,-1.0
2,27.5,86.0,332.5,-1.0
2,27.5,86.0,331.5,-1.0
2,27.5,86.0,332.5,-1.0
2,28.5,86.0,332.5,-1.0
2,28.5,86.0,331.5,-1.0
2,29.5,86.0,331.5,-1.0
2,29.5,85.0,332.5,1.0
2,29.5,85.0,333.5,-1.0
2,29.5,85.0,332.5,-1.0
2,28.5,86.0,332.5,-3.0
2,29.5,85.0,332.5,1.0
2,30.5,84.0,332.5,1.0
2,29.5,85.0,332.5,-3.0
2,29.5,85.0,333.5,-1.0
2,28.5,85.0,333.5,-1.0
2,28.5,85.0,334.5,-1.0
2,28.5,85.0,333.5,-1.0
2,28.5,85.0,334.5,-1.0
2,28.5,84.0,335.5,1.0
2,29.5,83.0,335.5,1.0
2,29.5,82.0,336.5,1.0
2,29.5,80.0,337.5,3.0
2,29.5,80.0,337.5,-1000
2,29.5,80.0,337.5,-1000
2,29.5,80.0,337.5,-1000
2,29.5,80.0,338.5,-1.0
2,29.5,80.0,338.5,-1000
2,29.5,80.0,337.5,-1.0
2,30.5,79.0,337.5,1.0
2,30.5,79.0,337.5,-1000
2,29.5,80.0,337.5,-3.0
2,30.5,79.0,337.5,1.0
2,31.5,78.0,337.5,1.0
2,31.5,78.0,337.5,-1000
2,31.5,78.0,337.5,-1000
2,32.5,76.0,337.5,3.0
2,32.5,76.0,337.5,-1000
2,32.5,76.0,337.5,-1000
2,32.5,76.0,337.5,-1000
2,32.5,76.0,337.5,-1000
2,33.5,75.0,337.5,1.0
2,32.5,76.0,337.5,-3.0
2,32.5,76.0,337.5,-1000
2,32.5,74.0,338.5,3.0
2,32.5,74.0,338.5,-1000
2,32.5,74.0,338.5,-1000
2,32.5,72.0,339.5,3.0
2,33.5,71.0,339.5,1.0
2,34.5,71.0,339.5,-1.0
2,35.5,70.0,339.5,1.0
2,36.5,69.0,339.5,1.0
2,36.5,69.0,339.5,-1000
3,28.5,86.0,331.5,1.0
3,28.5,87.0,330.5,-3.0
3,27.5,87.0,330.5,-1.0
3,27.5,86.0,331.5,1.0
3,28.5,86.0,331.5,-1.0
3,28.5,86.0,332.5,-1.0
3,28.5,86.0,331.5,-1.0
3,28.5,87.0,330.5,-3.0
3,28.5,87.0,329.5,-1.0
3,27.5,87.0,329.5,-1.0
3,27.5,87.0,329.5,-1000
3,28.5,87.0,329.5,-1.0
3,29.5,87.0,329.5,-1.0
3,29.5,87.0,328.5,-1.0
3,28.5,88.0,328.5,-3.0
3,29.5,87.0,328.5,1.0
3,30.5,86.0,328.5,1.0
3,29.5,87.0,328.5,-3.0
3,29.5,87.0,329.5,-1.0
3,29.5,86.0,330.5,1.0
3,29.5,86.0,330.5,-1000
3,29.5,86.0,331.5,-1.0
3,29.5,86.0,330.5,-1.0
3,29.5,86.0,330.5,-1000
3,29.5,86.0,330.5,-1000
3,28.5,87.0,330.5,-3.0
3,29.5,86.0,330.5,1.0
3,30.5,86.0,330.5,-1.0
3,30.5,86.0,329.5,-1.0
3,31.5,85.0,329.5,1.0
3,31.5,86.0,328.5,-3.0
3,32.5,85.0,328.5,1.0
3,33.5,84.0,328.5,1.0
3,34.5,83.0,328.5,1.0
3,33.5,84.0,328.5,-3.0
3,33.5,83.0,329.5,1.0
3,34.5,82.0,329.5,1.0
3,35.5,80.0,329.5,3.0
3,35.5,80.0,328.5,-1.0
3,35.5,80.0,328.5,-1000
3,35.5,80.0,328.5,-1000
3,35.5,80.0,329.5,-1.0
3,35.5,80.0,328.5,-1.0
3,35.5,80.0,328.5,-1000
3,36.5,79.0,328.5,1.0
3,36.5,79.0,329.5,-1.0
3,36.5,79.0,328.5,-1.0
3,37.5,78.0,328.5,1.0
3,37.5,78.0,328.5,-1000
3,37.5,78.0,328.5,-1000
3,37.5,78.0,329.5,-1.0
3,37.5,77.0,330.5,1.0
3,37.5,76.0,331.5,1.0
3,37.5,77.0,330.5,-3.0
3,38.5,76.0,330.5,1.0
3,39.5,76.0,330.5,-1.0
3,40.5,76.0,330.5,-1.0
3,40.5,72.0,329.5,-43.0
3,41.5,71.0,329.5,1.0
3,41.5,72.0,328.5,-3.0
3,41.5,72.0,328.5,-1000
3,41.5,71.0,329.5,1.0
3,41.5,72.0,328.5,-3.0
3,41.5,72.0,327.5,-1.0
3,41.5,72.0,327.5,-1000
3,41.5,72.0,328.5,-1.0
3,41.5,71.0,329.5,1.0
3,41.5,71.0,329.5,-1000
3,41.5,71.0,330.5,-1.0
3,41.5,71.0,329.5,-1.0
3,41.5,71.0,329.5,-1000
3,41.5,72.0,328.5,-3.0
3,41.5,72.0,328.5,-1000
3,41.5,72.0,327.5,-1.0
3,42.5,71.0,327.5,1.0
3,42.5,71.0,328.5,-1.0
3,41.5,72.0,328.5,-3.0
3,41.5,72.0,328.5,-1000
3,41.5,72.0,328.5,-1000
3,41.5,72.0,327.5,-1.0
3,42.5,71.0,327.5,1.0
3,42.5,71.0,327.5,-1000
3,43.5,69.0,327.5,3.0
3,43.5,69.0,327.5,-1000
4,28.5,87.0,329.5,-1.0
4,28.5,88.0,328.5,-3.0
4,28.5,88.0,327.5,-1.0
4,28.5,88.0,326.5,-1.0
4,27.5,88.0,326.5,-1.0
4,27.5,88.0,327.5,-1.0
4,27.5,88.0,326.5,-1.0
4,27.5,88.0,325.5,-1.0
4,26.5,88.0,325.5,-1.0
4,27.5,88.0,325.5,-1.0
4,27.5,88.0,325.5,-1000
4,27.5,88.0,326.5,-1.0
4,27.5,88.0,327.5,-1.0
4,28.5,88.0,327.5,-1.0
4,29.5,87.0,327.5,1.0
4,29.5,87.0,328.5,-1.0
4,29.5,87.0,329.5,-1.0
4,28.5,87.0,329.5,-1.0
4,29.5,87.0,329.5,-1.0
4,29.5,87.0,328.5,-1.0
4,28.5,88.0,328.5,-3.0
4,29.5,87.0,328.5,1.0
4,30.5,86.0,328.5,1.0
4,29.5,87.0,328.5,-3.0
4,30.5,86.0,328.5,1.0
4,30.5,86.0,329.5,-1.0
4,30.5,86.0,328.5,-1.0
4,30.5,86.0,329.5,-1.0
4,30.5,86.0,330.5,-1.0
4,30.5,85.0,331.5,1.0
4,30.5,84.0,332.5,1.0
4,29.5,85.0,332.5,-3.0
4,29.5,86.0,331.5,-3.0
4,29.5,86.0,330.5,-1.0
4,28.5,87.0,330.5,-3.0
4,28.5,87.0,329.5,-1.0
4,28.5,87.0,330.5,-1.0
4,28.5,86.0,331.5,1.0
4,28.5,86.0,332.5,-1.0
4,27.5,86.0,332.5,-1.0
4,26.5,86.0,332.5,-1.0
4,27.5,86.0,332.5,-1.0
4,26.5,86.0,332.5,-1.0
4,26.5,86.0,333.5,-1.0
4,26.5,86.0,334.5,-1.0
4,27.5,85.0,334.5,1.0
4,27.5,85.0,334.5,-1000
4,27.5,85.0,334.5,-1000
4,28.5,85.0,334.5,-1.0
4,27.5,85.0,334.5,-1.0
4,27.5,85.0,334.5,-1000
4,27.5,85.0,334.5,-1000
4,27.5,85.0,335.5,-1.0
4,26.5,85.0,335.5,-1.0
4,26.5,85.0,335.5,-1000
4,25.5,86.0,335.5,-3.0
4,25.5,86.0,336.5,-1.0
4,26.5,85.0,336.5,1.0
4,25.5,86.0,336.5,-3.0
4,25.5,86.0,335.5,-1.0
4,25.5,86.0,334.5,-1.0
4,26.5,86.0,334.5,-1.0
4,26.5,85.0,335.5,1.0
4,27.5,85.0,335.5,-1.0
4,27.5,84.0,336.5,1.0
4,28.5,83.0,336.5,1.0
4,27.5,84.0,336.5,-3.0
4,27.5,84.0,336.5,-1000
4,27.5,84.0,336.5,-1000
4,27.5,84.0,336.5,-1000
4,27.5,84.0,336.5,-1000
4,28.5,83.0,336.5,1.0
4,28.5,83.0,336.5,-1000
4,28.5,82.0,337.5,1.0
4,28.5,81.0,338.5,1.0
4,29.5,80.0,338.5,1.0
4,29.5,80.0,337.5,-1.0
4,29.5,80.0,337.5,-1000
4,29.5,80.0,337.5,-1000
4,29.5,80.0,337.5,-1000
4,30.5,79.0,337.5,1.0
4,31.5,78.0,337.5,1.0
4,31.5,77.0,338.5,1.0
4,31.5,75.0,339.5,3.0
4,32.5,72.0,339.5,5.0
4,32.5,70.0,340.5,3.0
4,33.5,70.0,340.5,-1.0
4,33.5,71.0,339.5,-3.0
4,33.5,71.0,339.5,-1000
4,33.5,71.0,339.5,-1000
4,33.5,71.0,339.5,-1000
4,33.5,70.0,340.5,1.0
4,33.5,71.0,339.5,-3.0
4,33.5,70.0,340.5,1.0
4,32.5,70.0,340.5,-1.0
4,32.5,70.0,340.5,-1000
4,32.5,70.0,340.5,-1000
4,32.5,70.0,341.5,-1.0
4,32.5,70.0,341.5,-1000
4,32.5,70.0,340.5,-1.0
4,33.5,70.0,340.5,-1.0
4,33.5,70.0,340.5,-1000
5,28.5,86.0,331.5,1.0
5,27.5,86.0,331.5,-1.0
5,27.5,87.0,330.5,-3.0
5,28.5,87.0,330.5,-1.0
5,27.5,87.0,330.5,-1.0
5,26.5,87.0,330.5,-1.0
5,27.5,87.0,330.5,-1.0
5,27.5,86.0,331.5,1.0
5,27.5,86.0,332.5,-1.0
5,27.5,86.0,331.5,-1.0
5,28.5,86.0,331.5,-1.0
5,29.5,86.0,331.5,-1.0
5,30.5,85.0,331.5,1.0
5,31.5,84.0,331.5,1.0
5,30.5,85.0,331.5,-3.0
5,30.5,85.0,331.5,-1000
5,30.5,85.0,331.5,-1000
5,31.5,84.0,331.5,1.0
