episode,reward,moves,success
1,-19065.231855259248,101,0
2,-22028.0,86,0
3,-14024.0,74,0
4,-1102.0,101,0
5,-14053.0,101,0
6,-3082.0,101,0
7,-6097.0,101,0
8,-1102.0,101,0
9,-103.0,101,0
10,-13003.0,52,0
11,-11034.0,81,0
12,-2999.0,38,0
13,-11086.0,101,0
14,-10989.0,36,0
15,-3102.0,101,0
16,-6017.81479080473,59,0
17,-7074.0,101,0
18,-14063.463047595174,63,0
19,-12063.0,101,0
20,-4097.0,101,0
21,-19038.07168125009,92,0
22,-2099.0,101,0
23,-12996.610876903502,45,0
24,-3995.6108769035022,35,0
25,-7047.0,90,0
26,-23003.0,62,0
27,-13050.0,99,0
28,-6985.0,28,0
29,-5070.0,101,0
30,-1104.0,101,0
31,-3100.0,101,0
32,-10000.610876903502,46,0
33,-29021.0,86,0
34,-8065.0,101,0
35,-4984.0,25,0
36,-1102.0,101,0
37,-3096.0,101,0
38,-2101.0,101,0
39,-18009.0,63,0
40,-9005.610876903502,50,0
41,-2103.0,101,0
42,-10034.0,80,0
43,-7094.0,101,0
44,-101000,101,0
45,-2097.0,101,0
46,-10093.0,101,0
47,-14063.0,101,0
48,-14024.0,74,0
49,-9014.0,59,0
50,-6986.0,29,0
51,-1991.0716812500891,28,0
52,-12011.0,59,0
53,-6097.0,101,0
54,-12010.610876903502,58,0
55,-5086.926095190348,101,0
56,-2998.0,37,0
57,-3018.0,57,0
58,-2980.0,19,0
59,-7987.0,31,0
60,-15066.0,101,0
61,-12033.610876903502,81,0
62,-5094.0,101,0
63,-6004.0,46,0
64,-4992.0,33,0
65,-1102.0,101,0
66,-12019.0,67,0
67,-7990.0,34,0
68,-3100.0,101,0
69,-3100.0,101,0
70,-8002.0,46,0
71,-3096.463047595174,101,0
72,-3092.0,101,0
73,-13005.0,54,0
74,-7984.0,28,0
75,-11092.0,101,0
76,-6063.0,101,0
77,-13992.0,42,0
78,-16017.532735987916,68,0
79,-4986.62958160946,26,0
80,-22003.0,61,0
81,-7990.0,34,0
82,-8013.071681250089,56,0
83,-15044.610876903502,95,0
84,-28023.0,87,0
85,-9064.0,101,0
86,-17046.0,99,0
87,-5995.2404585129625,35,0
88,-15019.463047595174,70,0
89,-7096.0,101,0
90,-14033.0,83,0
91,-13018.071681250089,66,0
92,-6081.463047595174,101,0
93,-8011.0,55,0
94,-18992.0,47,0
95,-8052.682558153591,95,0
96,-7994.0,38,0
97,-4101.0,101,0
98,-5986.610876903502,28,0
99,-13995.0,45,0
100,-11998.610876903502,46,0
101,-14006.524577403428,54,0
102,-8018.0,62,0
103,-12080.686399993896,101,0
104,-12988.0,37,0
105,-4008.071681250089,47,0
106,-4999.071681250089,39,0
107,-5076.926095190349,101,0
108,-15044.463047595174,95,0
109,-8993.0,38,0
110,-10056.071681250089,101,0
111,-14008.0,58,0
112,-3098.0,101,0
113,-2101.463047595174,101,0
114,-8019.0,63,0
115,-3100.0,101,0
116,-11002.073924498676,50,0
117,-5042.084025950921,62,0
118,-4991.0,32,0
119,-5986.81479080473,28,0
120,-35997.81479080473,43,0
121,-10290.67858029166,51,0
122,-2990.0,29,0
123,-4989.463047595174,30,0
124,-5998.0,36,0
125,-10031.81479080473,77,0
126,-15083.534728845263,101,0
127,-9012.78089490652,56,0
128,-9068.740885995077,62,0
129,-4984.463067284198,23,0
130,-2995.6108769035022,34,0
131,-9002.0,47,0
132,-11008.624094903467,54,0
133,-8003.273621982994,38,0
134,-2272.463047595174,62,0
135,-3986.0,26,0
136,-11074.0,101,0
137,-5985.0,27,0
138,-4992.8147908047295,33,0
139,-2147.5245774034265,33,0
140,-6997.0,40,0
141,-4983.0,24,0
142,-8079.463047595174,101,0
143,-14999.709786598696,37,0
144,-12992.0,41,0
145,-5997.0,39,0
146,-1309.048998682201,70,0
147,-6305.048998682201,71,0
148,-978.0,17,0
149,-6004.0,46,0
150,-9987.0,33,0
151,-7990.0,34,0
152,-7156.0,49,0
153,-3992.0,32,0
154,-12018.0,66,0
155,-13006.0,55,0
156,-4987.0,28,0
157,-2992.6108769035027,31,0
158,-9018.0,63,0
159,-6008.0,50,0
160,-10994.0,41,0
161,-4999.0,40,0
162,-10003.610876903502,49,0
163,-1998.6108769035025,36,0
164,-6277.0,71,0
165,-1995.0,33,0
166,-3997.0,37,0
167,-7008.0,51,0
168,-4997.0,38,0
169,8.0,28,1
170,-9984.0,30,0
171,-1980.0,18,0
172,-4990.0,31,0
173,13.185209195270119,22,1
174,-4989.0,30,0
175,-3017.0,56,0
176,-7002.0,45,0
177,12.219105093480067,20,1
178,-1990.0,30,0
179,-5984.709786598696,25,0
180,-1987.0,25,0
181,-4981.463047595174,20,0
182,-7991.0,35,0
183,-3997.0,37,0
184,-7011.0,54,0
185,-8022.0,66,0
186,-7993.0,37,0
187,-994.0,31,0
188,-3258.0,49,0
189,-4995.0,36,0
190,-1997.0,35,0
191,-5997.0,39,0
192,-9993.610876903502,39,0
193,-6026.0,68,0
194,-3994.0,34,0
195,-1993.0,31,0
196,-3026.6108769035022,65,0
197,-2042.0,80,0
198,-3012.0,51,0
199,-6031.0,73,0
200,-7021.0,64,0
201,-1983.0,21,0
202,-4030.0,70,0
203,-4015.0,55,0
204,-1991.7097865986966,28,0
205,-2007.0,45,0
206,-9985.0,31,0
207,-2985.0,24,0
208,-4986.0,27,0
209,-3987.534728845263,26,0
210,-985.0,22,0
211,-1999.0,37,0
212,-4989.81479080473,30,0
213,-6014.534728845263,55,0
214,-3987.313630894435,26,0
215,-4985.0,26,0
216,-3991.0,31,0
217,-0.46304759517403227,36,0
218,-1288.463047595174,29,0
219,-3990.1728341938706,32,0
220,-4015.0,55,0
221,-6021.0,63,0
222,-3312.0192277396427,23,0
223,-1981.81479080473,19,0
224,-992.6295816094598,28,0
225,-2986.78089490652,24,0
226,-2233.858153737345,45,0
227,-5024.0,65,0
228,-3982.0,22,0
229,-3985.0,25,0
230,-3004.0,43,0
231,-1986.0,24,0
232,-2989.463047595174,28,0
233,-8993.45407690045,36,0
234,-8015.463047595174,59,0
235,-4000.78089490652,39,0
236,-6016.81479080473,58,0
237,-1991.463047595174,29,0
238,-1013.0,50,0
239,-6989.0,32,0
240,-5017.0,58,0
241,-5026.0,67,0
242,-1989.81479080473,27,0
243,-10272.048998682201,42,0
244,-2984.0,25,0
245,-4018.0,58,0
246,-2284.0,26,0
247,-1008.0,45,0
248,-244.0,32,0
249,-3992.071681250089,31,0
250,-7989.0,33,0
251,-3995.0,33,0
252,-4998.606410095352,37,0
253,-991.0,28,0
254,-1013.0716812500891,49,0
255,-3006.0,45,0
256,-6991.0,34,0
257,-1985.0,23,0
258,-984.0,21,0
259,-2999.0,38,0
260,-4998.0,39,0
261,-11004.463047595174,51,0
262,-2989.1728341938706,24,0
263,-12984.0,29,0
264,-9009.709786598698,45,0
265,-3292.463047595174,29,0
266,-2988.0,27,0
267,-1995.8431999969482,32,0
268,-2985.0,24,0
269,-2041.040562584656,24,0
270,-2999.0,38,0
271,-1314.0192277396427,23,0
272,-2324.0192277396427,34,0
273,-2994.0,33,0
274,17.0,19,1
275,-6007.071681250089,48,0
276,-4.0,40,0
277,-2290.0,32,0
278,-984.0,21,0
279,-1316.0192277396427,25,0
280,-986.0,23,0
281,-1986.0,24,0
282,-1240.0,29,0
283,-999.6108769035025,36,0
284,-4982.0,23,0
285,-3988.0,28,0
286,-4013.0,53,0
287,-2983.0,22,0
288,-2237.0,27,0
289,-1981.0,19,0
290,-986.0,23,0
291,-1268.048998682201,29,0
292,-987.0,24,0
293,-1984.7097865986966,21,0
294,-1986.0,24,0
295,-3010.0,49,0
296,-1986.0,24,0
297,-3988.0,28,0
298,-1190.0,27,0
299,-988.0,25,0
300,-3004.0,43,0
301,-987.0,24,0
302,-3987.0,27,0
303,-7993.0,37,0
304,-31.0,19,0
305,-2.0,38,0
306,-1984.0,22,0
307,-1980.0,18,0
308,-985.0,22,0
309,-1986.0,24,0
310,-2188.0,26,0
311,-3989.0,29,0
312,-985.0,22,0
313,-3343.0,38,0
314,-990.0,27,0
315,16.0,20,1
316,-1008.0,45,0
317,-1982.0,20,0
318,-5988.0,30,0
319,-3990.0,30,0
320,-2994.071681250089,32,0
321,-1984.6108769035025,22,0
322,10.465271154736854,24,1
323,-989.0,26,0
324,12.0,24,1
325,-284.0,24,0
326,-990.0,27,0
327,-1983.6108769035025,21,0
328,-2988.81479080473,27,0
329,-2981.0,20,0
330,-1008.463047595174,45,0
331,-1285.7097865986966,25,0
332,15.0,21,1
333,-3980.6108769035022,20,0
334,-2187.926095190348,25,0
335,-5991.071681250089,32,0
336,-4996.0,37,0
337,-4010.81479080473,50,0
338,-1981.0,19,0
339,-5003.610876903503,42,0
340,-4991.0,32,0
341,-1982.0,20,0
342,-2997.463047595174,36,0
343,-2988.0,27,0
344,-2285.7097865986966,26,0
345,-188.0,24,0
346,-2008.0,46,0
347,-991.6108769035025,28,0
348,-1334.5245774034265,25,0
349,-278.0,18,0
350,-979.0,18,0
351,-984.0,21,0
352,-990.0,27,0
353,-1994.0716812500891,31,0
354,-1985.78089490652,22,0
355,-7989.172834193871,29,0
356,-996.0716812500891,32,0
357,-980.0,17,0
358,-4981.0,22,0
359,-2278.0,20,0
360,20.0,16,1
361,-1292.0,33,0
362,-3982.0,22,0
363,-1985.0,21,0
364,-4983.463047595174,20,0
365,-2330.0,24,0
366,-1236.0,25,0
367,-1981.0,19,0
368,-1290.0,31,0
369,-983.0,20,0
370,-16980.463047595174,35,0
371,-1192.0,29,0
372,-1993.6108769035025,31,0
373,-4003.0,41,0
374,-3997.0,37,0
375,-3005.6044172380043,40,0
376,-2009.0,47,0
377,11.0,25,1
378,-981.0,18,0
379,-2985.0,24,0
380,-5008.0,49,0
381,-1983.0,21,0
382,-4990.0,31,0
383,-983.78089490652,19,0
384,-80.0,16,0
385,-1984.7097865986966,21,0
386,-3005.0,44,0
387,-998.0,35,0
388,-2998.071681250089,36,0
389,-1995.0,33,0
390,-3331.0,26,0
391,-11004.463047595174,43,0
392,-7006.0,47,0
393,-17009.0,44,0
394,-979.0,16,0
395,-2980.463047595174,19,0
396,-2006.81479080473,44,0
397,-4.0,40,0
398,-1221.8581537373452,32,0
399,-996.0,33,0
400,-992.0,29,0
401,-1014.8147908047299,51,0
402,-997.0,34,0
403,-2987.0,26,0
404,19.0,17,1
405,8.0,28,1
406,-2992.0,31,0
407,-4996.0,37,0
408,-2983.6108769035022,22,0
409,14.185209195270119,21,1
410,-2002.0,40,0
411,15.0,21,1
412,7.0,29,1
413,-2991.0,30,0
414,-997.0,34,0
415,-1995.0,33,0
416,-2980.0,19,0
417,-994.0,31,0
418,-991.0,28,0
419,-5983.0,25,0
420,3.0,33,1
421,-993.0,30,0
422,-994.0,31,0
423,-3998.0,38,0
424,6.0,30,1
425,-8002.926095190349,38,0
426,-1.9977764404371783,36,0
427,-2983.6108769035022,22,0
428,-993.7097865986967,29,0
429,-994.463047595174,31,0
430,-3012.463047595174,51,0
431,-2989.0,28,0
432,-999.926095190348,36,0
433,-2994.0,33,0
434,4.0,32,1
435,-992.0,29,0
436,-1989.7097865986966,26,0
437,-4986.709786598697,26,0
438,-985.3206635021992,20,0
439,-991.0,28,0
440,-2994.0,33,0
441,-996.0,31,0
