episode,reward,moves,success
1,-7996.0,40,0
2,-11032.0,79,0
3,-6080.0,102,0
4,-11026.0,75,0
5,-12019.0,67,0
6,-5029.0,70,0
7,-12019.0,67,0
8,-5986.0,28,0
9,-15986.0,38,0
10,-5988.0,30,0
11,-10026.0,72,0
12,-4989.0,30,0
13,-5097.0,102,0
14,-7001.0,44,0
15,-16002.0,54,0
16,-21009.0,66,0
17,-18004.0,58,0
18,-5990.0,32,0
19,-12148.042662055714,59,0
20,-15111.0,102,0
21,-1105.0,102,0
22,-4094.0,102,0
23,-28058.463047595174,102,0
24,-1103.0,102,0
25,-15032.0,83,0
26,-15996.709786598698,47,0
27,-12044.0,92,0
28,-12050.0,98,0
29,-10993.341196806641,40,0
30,-20002.709786598694,57,0
31,-9051.0,96,0
32,-17061.0,102,0
33,-7015.0,58,0
34,-13069.0,102,0
35,-9095.463047595174,102,0
36,-5270.0,63,0
37,-15991.0,43,0
38,-22996.0,55,0
39,-14018.0,68,0
40,-9990.0,36,0
41,-13002.0,53,0
42,-22104.0,102,0
43,-22033.78089490652,90,0
44,-11069.0,102,0
45,-19012.0,67,0
46,-20044.0,100,0
47,-13067.0,102,0
48,-8990.0,35,0
49,-5087.0,102,0
50,-4100.0,102,0
51,-16064.0,102,0
52,-1103.0,102,0
53,-1081.0,102,0
54,-19008.244515443963,62,0
55,-1103.0,102,0
56,-19036.0,91,0
57,-2104.0,102,0
58,-12096.814790804729,94,0
59,-14088.0,102,0
60,-13075.0,102,0
61,-15017.0,68,0
62,-20060.81479080473,102,0
63,-8995.0,40,0
64,-1103.0,102,0
65,-2991.7097865986966,29,0
66,-17010.0,63,0
67,-16042.0,94,0
68,-5095.0,102,0
69,-14022.0,72,0
70,-6025.0,67,0
71,-11005.0,52,0
72,-1103.463047595174,102,0
73,-6019.532735987916,60,0
74,-5095.463047595174,102,0
75,-17018.0,71,0
76,-10097.071681250089,102,0
77,-3055.0,94,0
78,-1103.0,102,0
79,-1104.532735987915,102,0
80,-22016.0,74,0
81,-2102.463047595174,102,0
82,-16043.53697209385,94,0
83,-12048.78089490652,95,0
84,-11025.0,72,0
85,-16020.071681250089,71,0
86,-12982.463047595174,31,0
87,-10008.0,54,0
88,-1103.0,102,0
89,-22032.277838399903,89,0
90,-8998.463047595174,43,0
91,-998.0,35,0
92,-18017.0,71,0
93,-13091.0,102,0
94,-13008.0,57,0
95,-1105.0,102,0
96,-17034.0,87,0
97,-10994.277838399905,40,0
98,-17039.814790804732,92,0
99,-1103.463047595174,102,0
100,-18009.0,63,0
101,-15006.0,57,0
102,-8994.0,39,0
