episode,reward,moves,success
1,-2099.463048,101,0
2,-9998,44,0
3,-2989.610877,28,0
4,-19029,86,0
5,-5098,101,0
6,-8212.814791,56,0
7,-9002.463048,49,0
8,-9065.34952,58,0
9,-6014,54,0
10,-7097.8432,101,0
11,-13010.9261,59,0
12,-10992.61088,39,0
13,-7991.995784,32,0
14,-31018,85,0
15,-18018.53274,71,0
16,-8001,45,0
17,-3016,49,0
18,-12995.52458,42,0
19,-38029.9261,101,0
20,-24062.8432,101,0
21,-12005.91488,43,0
22,-4099,101,0
23,-9098.769295,101,0
24,-14005.99578,54,0
25,-8073.463048,101,0
26,-7080,101,0
27,-17044.53274,96,0
28,-9001.814791,46,0
29,-4100.532736,101,0
30,-8095,101,0
31,-6097,101,0
32,-2101,101,0
33,-12984.46305,33,0
34,-10044,88,0
35,-101.9260952,101,0
36,-9036,81,0
37,-8005.781468,47,0
38,-3989.657991,25,0
39,-8989.524577,32,0
40,-2101,101,0
41,-10994.81057,39,0
42,-16067.60442,101,0
43,-7001.781468,42,0
44,-7089.8432,101,0
45,-19070.30625,101,0
46,-5097.532736,101,0
47,-7998,36,0
48,-11003,50,0
49,-8089,101,0
50,-11042.07168,90,0
51,-8023.801353,65,0
52,-19016.07168,74,0
53,-6990.071681,30,0
54,-9994.814791,38,0
55,-11019.46305,66,0
56,-28003.53473,58,0
57,-18042.54877,85,0
58,-6098.85219,101,0
59,-6989.463048,32,0
60,-9039.532736,83,0
61,-11075.24252,101,0
62,-9090.463048,101,0
63,-7001,40,0
64,-105,101,0
65,-19038.07168,92,0
66,-1102,101,0
67,-2994,33,0
68,-10032.46305,76,0
69,-23019.46305,74,0
70,-26043,101,0
71,-13994,40,0
72,-3100,101,0
73,-17006,59,0
74,-4003,41,0
75,-7980,24,0
76,-17031.53274,81,0
77,-12079,101,0
78,-9984,30,0
79,-2101,101,0
80,-103,101,0
81,-16047.9261,99,0
82,-1102,101,0
83,-9018.071681,62,0
84,-6073,101,0
85,-12002,50,0
86,-13062.46305,101,0
87,-4095,101,0
88,-19023,78,0
89,-11995,43,0
90,-15060,101,0
91,-13999,49,0
92,-5991,33,0
93,-17043,96,0
94,-1102,101,0
95,-1993,31,0
96,-17013,66,0
97,-21009,66,0
98,-11013,62,0
99,-1104,101,0
100,-13022.46305,69,0
101,-1985,23,0
102,-13020,69,0
103,-9078,101,0
104,-22038,96,0
105,-14001,51,0
106,-9988,34,0
107,-15052,101,0
108,-10993.07168,39,0
109,-2101,101,0
110,-6997.781468,38,0
111,-9980,26,0
112,-1989,27,0
113,-13068,101,0
114,-11993,41,0
115,-1984,22,0
116,-18049,101,0
117,-11019,66,0
118,-16019,71,0
119,-10035,81,0
120,-3003.709787,41,0
121,-11988,36,0
122,-9020,65,0
123,-8031,75,0
124,-25017,78,0
125,-8037,81,0
126,-7081.071681,101,0
127,-8030,74,0
128,-5062.243943,101,0
129,-22010.07168,65,0
130,-13039,88,0
131,-7005.814791,48,0
132,-6989.610877,32,0
133,-6992,35,0
134,-1989,27,0
135,-7992,36,0
136,-3997,37,0
137,-9983,29,0
138,-3983,23,0
139,-11990,38,0
140,-10001,47,0
141,-2986,25,0
142,-5994,36,0
143,-8075,101,0
144,-2989.463048,26,0
145,-6095,101,0
146,-9989,35,0
147,-6987,30,0
148,-10007,53,0
149,-4099,101,0
150,-6015,57,0
151,-1040,77,0
152,-5017,58,0
153,-3991,31,0
154,-6997,40,0
155,-8991.8432,33,0
156,-9042.071681,86,0
157,-9992,38,0
158,14,22,1
159,-3991,31,0
160,-2984,21,0
161,-2980.463048,19,0
162,-1002.071681,38,0
163,-6010,48,0
164,-2981,20,0
165,-7009,52,0
166,-3000,39,0
167,-6984,27,0
168,-3994.814791,32,0
169,-986,23,0
170,-5024,65,0
171,-7020,61,0
172,-3013,52,0
173,-994,31,0
174,-11001.81479,48,0
175,-4002.532736,39,0
176,-7050.463048,91,0
177,-3003.534729,41,0
178,-4979,20,0
179,-1989.780895,24,0
180,-4997.814791,38,0
181,-5998,40,0
182,-6990,29,0
183,-7043,84,0
184,-4997,38,0
185,-3988,28,0
186,-6984,27,0
187,-8998,41,0
188,-2026.463048,64,0
189,-5990,32,0
190,-8002,46,0
191,-2991,30,0
192,-6996,39,0
193,-7996,40,0
194,-7995,39,0
195,-5987,29,0
196,-5991,33,0
197,-7021,64,0
198,-9009,54,0
199,-8001,45,0
200,-2991,30,0
201,-6988,31,0
202,-2004.463048,42,0
203,-7026.8432,66,0
204,-5996.534729,37,0
205,-2993.071681,31,0
206,-3990.071681,29,0
207,-4999,36,0
208,-6009,51,0
209,-2015,53,0
210,-6003,45,0
211,-2047.071681,84,0
