episode,reward,moves,success
1,-11991.0,41,0
2,-15015.0,66,0
3,-18080.0,84,0
4,-21047.0,102,0
5,-11002.0,49,0
6,-9079.0,102,0
7,-1103.463047595174,102,0
8,-9087.0,102,0
9,-6092.0,102,0
10,-15048.620978355748,81,0
11,-17047.0,100,0
12,-2102.0,102,0
13,-19029.92609519035,84,0
14,-6042.0,84,0
15,-9001.0,46,0
16,-13000.0,49,0
17,-4142.53495585873,90,0
18,-8024.391771810023,66,0
19,-4102.0,102,0
20,-25053.0,102,0
21,-6098.0,102,0
22,-2100.463047595174,102,0
23,-15021.81479080473,72,0
24,-3101.463047595174,102,0
25,-22055.07168125009,102,0
26,-8018.425667708233,63,0
27,-6100.143362500177,102,0
28,-14997.0,48,0
29,-20042.0,98,0
30,-9038.0,85,0
31,-15022.81479080473,73,0
