episode,x,y,z,reward
1,27.5,87.0,330.5,-1.0
1,26.5,87.0,330.5,-1.0
1,26.5,87.0,331.5,-1.0
1,26.5,87.0,330.5,-1.0
1,25.5,87.0,330.5,-1.0
1,25.5,88.0,329.5,-3.0
1,25.5,88.0,328.5,-1.0
1,25.5,88.0,329.5,-1.0
1,26.5,88.0,329.5,-1.0
1,27.5,87.0,329.5,1.0
1,27.5,87.0,329.5,-1000
1,27.5,87.0,329.5,-1000
1,28.5,87.0,329.5,-1.0
1,29.5,87.0,329.5,-1.0
1,29.5,87.0,328.5,-1.0
1,29.5,87.0,329.5,-1.0
1,30.5,86.0,329.5,1.0
1,30.5,86.0,330.5,-1.0
1,30.5,85.0,331.5,1.0
1,30.5,85.0,331.5,-1000
1,30.5,84.0,332.5,1.0
1,30.5,84.0,333.5,-1.0
1,31.5,82.0,333.5,3.0
1,31.5,82.0,333.5,-1000
1,31.5,81.0,334.5,1.0
1,31.5,81.0,334.5,-1000
1,32.5,80.0,334.5,1.0
1,32.5,81.0,333.5,-3.0
1,33.5,80.0,333.5,1.0
1,34.5,79.0,333.5,1.0
1,35.5,77.0,333.5,3.0
1,35.5,77.0,333.5,-1000
1,35.5,76.0,334.5,1.0
1,34.5,77.0,334.5,-3.0
1,34.5,76.0,335.5,1.0
1,34.5,74.0,336.5,3.0
1,35.5,72.0,336.5,3.0
1,35.5,72.0,336.5,-1000
1,36.5,69.0,336.5,5.0
1,36.5,69.0,336.5,-1000
2,28.5,86.0,331.5,1.0
2,29.5,86.0,331.5,-1.0
2,29.5,86.0,330.5,-1.0
2,29.5,86.0,330.5,-1000
2,30.5,86.0,330.5,-1.0
2,30.5,86.0,329.5,-1.0
2,31.5,85.0,329.5,1.0
2,31.5,85.0,329.5,-1000
2,31.5,86.0,328.5,-3.0
2,30.5,86.0,328.5,-1.0
2,31.5,86.0,328.5,-1.0
2,31.5,85.0,329.5,1.0
2,31.5,86.0,328.5,-3.0
2,31.5,85.0,329.5,1.0
2,31.5,85.0,330.5,-1.0
2,31.5,84.0,331.5,1.0
2,30.5,85.0,331.5,-3.0
2,29.5,86.0,331.5,-3.0
2,28.5,86.0,331.5,-1.0
2,29.5,86.0,331.5,-1.0
2,29.5,86.0,330.5,-1.0
2,29.5,86.0,331.5,-1.0
2,29.5,85.0,332.5,1.0
2,29.5,86.0,331.5,-3.0
2,30.5,85.0,331.5,1.0
2,30.5,85.0,331.5,-1000
2,31.5,84.0,331.5,1.0
2,30.5,85.0,331.5,-3.0
2,31.5,84.0,331.5,1.0
2,32.5,83.0,331.5,1.0
2,32.5,84.0,330.5,-3.0
2,32.5,85.0,329.5,-3.0
2,32.5,85.0,328.5,-1.0
2,32.5,85.0,327.5,-1.0
2,32.5,85.0,328.5,-1.0
2,32.5,85.0,329.5,-1.0
2,31.5,85.0,329.5,-1.0
2,31.5,86.0,328.5,-3.0
2,30.5,86.0,328.5,-1.0
2,31.5,86.0,328.5,-1.0
2,31.5,85.0,329.5,1.0
2,32.5,85.0,329.5,-1.0
2,33.5,83.0,329.5,3.0
2,33.5,83.0,329.5,-1000
2,34.5,82.0,329.5,1.0
2,34.5,81.0,330.5,1.0
2,34.5,81.0,330.5,-1000
2,34.5,80.0,331.5,1.0
2,35.5,79.0,331.5,1.0
2,36.5,77.0,331.5,3.0
2,36.5,78.0,330.5,-3.0
2,35.5,79.0,330.5,-3.0
2,35.5,79.0,330.5,-1000
2,35.5,79.0,330.5,-1000
2,35.5,79.0,331.5,-1.0
2,35.5,78.0,332.5,1.0
2,36.5,77.0,332.5,1.0
2,37.5,75.0,332.5,3.0
2,38.5,76.0,332.5,-3.0
2,38.5,76.0,333.5,-1.0
2,39.5,77.0,333.5,-3.0
2,40.5,77.0,333.5,-1.0
2,40.5,77.0,332.5,-1.0
2,39.5,76.0,332.5,1.0
2,39.5,76.0,331.5,-1.0
2,39.5,76.0,330.5,-1.0
2,39.5,75.0,329.5,1.0
2,40.5,72.0,329.5,5.0
2,41.5,71.0,329.5,1.0
2,41.5,71.0,329.5,-1000
2,41.5,72.0,328.5,-3.0
2,41.5,72.0,328.5,-1000
2,41.5,72.0,327.5,-1.0
2,41.5,72.0,328.5,-1.0
2,41.5,72.0,328.5,-1000
2,41.5,72.0,327.5,-1.0
2,42.5,71.0,327.5,1.0
2,43.5,69.0,327.5,3.0
2,43.5,69.0,327.5,-1000
3,27.5,87.0,330.5,-1.0
3,27.5,86.0,331.5,1.0
3,27.5,86.0,332.5,-1.0
3,27.5,86.0,333.5,-1.0
3,27.5,86.0,332.5,-1.0
3,27.5,86.0,331.5,-1.0
3,26.5,87.0,331.5,-3.0
3,25.5,87.0,331.5,-1.0
3,26.5,87.0,331.5,-1.0
3,25.5,87.0,331.5,-1.0
3,24.5,87.0,331.5,-1.0
3,25.5,87.0,331.5,-1.0
3,26.5,87.0,331.5,-1.0
3,25.5,87.0,331.5,-1.0
3,24.5,87.0,331.5,-1.0
3,23.5,88.0,331.5,-3.0
3,23.5,87.0,332.5,1.0
3,23.5,88.0,331.5,-3.0
3,22.5,88.0,331.5,-1.0
3,22.5,88.0,330.5,-1.0
3,22.5,88.0,331.5,-1.0
3,23.5,88.0,331.5,-1.0
3,22.5,88.0,331.5,-1.0
3,23.5,88.0,331.5,-1.0
3,22.5,88.0,331.5,-1.0
3,22.5,88.0,330.5,-1.0
3,22.5,88.0,329.5,-1.0
3,22.5,88.0,330.5,-1.0
3,21.5,88.0,330.5,-1.0
3,21.5,88.0,329.5,-1.0
3,21.5,88.0,328.5,-1.0
3,22.5,88.0,328.5,-1.0
3,23.5,88.0,328.5,-1.0
3,24.5,88.0,328.5,-1.0
3,24.5,88.0,329.5,-1.0
3,23.5,88.0,329.5,-1.0
3,23.5,88.0,330.5,-1.0
3,23.5,88.0,331.5,-1.0
3,24.5,87.0,331.5,1.0
3,24.5,87.0,332.5,-1.0
3,24.5,87.0,331.5,-1.0
3,24.5,88.0,330.5,-3.0
3,23.5,88.0,330.5,-1.0
3,24.5,88.0,330.5,-1.0
3,25.5,87.0,330.5,1.0
3,25.5,87.0,331.5,-1.0
3,25.5,87.0,332.5,-1.0
3,26.5,86.0,332.5,1.0
3,26.5,86.0,333.5,-1.0
3,26.5,86.0,332.5,-1.0
3,25.5,87.0,332.5,-3.0
3,25.5,87.0,331.5,-1.0
3,24.5,87.0,331.5,-1.0
3,25.5,87.0,331.5,-1.0
3,25.5,87.0,330.5,-1.0
3,25.5,88.0,329.5,-3.0
3,25.5,87.0,330.5,1.0
3,26.5,87.0,330.5,-1.0
3,26.5,87.0,331.5,-1.0
3,26.5,87.0,330.5,-1.0
3,26.5,87.0,331.5,-1.0
3,26.5,87.0,330.5,-1.0
3,26.5,87.0,331.5,-1.0
3,26.5,86.0,332.5,1.0
3,25.5,87.0,332.5,-3.0
3,25.5,87.0,333.5,-1.0
3,25.5,86.0,334.5,1.0
3,24.5,87.0,334.5,-3.0
3,25.5,86.0,334.5,1.0
3,25.5,86.0,334.5,-1000
3,24.5,87.0,334.5,-3.0
3,25.5,86.0,334.5,1.0
3,26.5,86.0,334.5,-1.0
3,27.5,85.0,334.5,1.0
3,27.5,85.0,335.5,-1.0
3,27.5,85.0,334.5,-1.0
3,28.5,85.0,334.5,-1.0
3,28.5,84.0,335.5,1.0
3,28.5,84.0,335.5,-1000
3,28.5,85.0,334.5,-3.0
3,27.5,85.0,334.5,-1.0
3,27.5,85.0,334.5,-1000
